product_name,brands,categories,countries,ingredients_text,nutriments,scraped_at
Biscoff à tartiner,Lotus,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Snacks,Petit-déjeuners,Produits à tartiner,Produits à tartiner sucrés,Pâtes à tartiner,Pâtes à tartiner au spéculoos","Algérie,Belgique,France,Luxembourg,Mauritanie,Maroc,Pays-Bas,Suisse,Tunisie","farine de blé, sucre, huiles végétales (huile de palme issue de plantations durables et certifiées, huile de colza), sirop de sucre candi, poudre à lever (carbonate acide de sodium), farine de soja, sel, cannelle, huile de colza, sucre, émulsifiant (lécithine de soja), acidifiant (acide citrique)","{'acides-gras-mono-insatures_100g': 22.6, 'acides-gras-mono-insatures_serving': 3.39, 'acides-gras-polyinsatures_100g': 9.1, 'acides-gras-polyinsatures_serving': 1.36, 'carbohydrates': 57, 'carbohydrates_100g': 57, 'carbohydrates_serving': 8.55, 'carbohydrates_unit': 'g', 'carbohydrates_value': 57, 'carbon-footprint-from-known-ingredients_100g': 261, 'carbon-footprint-from-known-ingredients_product': 1040, 'carbon-footprint-from-known-ingredients_serving': 39.1, 'energy': 2435, 'energy-kcal': 584, 'energy-kcal_100g': 584, 'energy-kcal_serving': 87.6, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 584, 'energy-kcal_value_computed': 584.1, 'energy-kj': 2435, 'energy-kj_100g': 2435, 'energy-kj_serving': 365, 'energy-kj_unit': 'kJ', 'energy-kj_value': 2435, 'energy-kj_value_computed': 2434.4, 'energy_100g': 2435, 'energy_serving': 365, 'energy_unit': 'kJ', 'energy_value': 2435, 'fat': 38.1, 'fat_100g': 38.1, 'fat_serving': 5.71, 'fat_unit': 'g', 'fat_value': 38.1, 'fiber': 0.8, 'fiber_100g': 0.8, 'fiber_serving': 0.12, 'fiber_unit': 'g', 'fiber_value': 0.8, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 7.12833333333333, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 7.12833333333333, 'nova-group': 4, 'nova-group_100g': 4, 'nova-group_serving': 4, 'nutrition-score-fr': 26, 'nutrition-score-fr_100g': 26, 'proteins': 2.9, 'proteins_100g': 2.9, 'proteins_serving': 0.435, 'proteins_unit': 'g', 'proteins_value': 2.9, 'salt': 0.54, 'salt_100g': 0.54, 'salt_serving': 0.081, 'salt_unit': 'g', 'salt_value': 0.54, 'saturated-fat': 7.6, 'saturated-fat_100g': 7.6, 'saturated-fat_serving': 1.14, 'saturated-fat_unit': 'g', 'saturated-fat_value': 7.6, 'sodium': 0.216, 'sodium_100g': 0.216, 'sodium_serving': 0.0324, 'sodium_unit': 'g', 'sodium_value': 0.216, 'sugars': 36.8, 'sugars_100g': 36.8, 'sugars_serving': 5.52, 'sugars_unit': 'g', 'sugars_value': 36.8}",2025-11-27 17:54:19
Granola L'Original,"LU, Mondelez International","Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits sucrés & biscuits apéritifs,Biscuits,Biscuits au chocolat,Biscuits sablés,Biscuits nappés au chocolat,Sablés nappés de chocolat,Sablés au chocolat","Belgique,France,Martinique,Maroc,La Réunion,Suisse,États-Unis","Farine de BLÉ 36%, chocolat au LAIT 27 % [sucre, pâte de cacao, beurre de cacao, lactosérum en poudre (de LAIT), LAIT écrémé en poudre, graisses végétales (karité, palme en proportion variable), BEURRE concentré, émulsifiants (lécithines de SOJA, E476), lactose (de LAIT), arôme], huile de palme, farine complète de BLE 12 %, sucre, sirop de sucre, poudres à lever (carbonates de sodium, carbonates d'ammonium), sel, correcteur d'acidité (acide citrique).

Peut contenir : fruits à coque.","{'carbohydrates': 62, 'carbohydrates_100g': 62, 'carbohydrates_serving': 7.75, 'carbohydrates_unit': 'g', 'carbohydrates_value': 62, 'carbon-footprint-from-known-ingredients_100g': 218.1, 'carbon-footprint-from-known-ingredients_product': 436, 'carbon-footprint-from-known-ingredients_serving': 27.3, 'energy': 2058, 'energy-kcal': 491, 'energy-kcal_100g': 491, 'energy-kcal_serving': 61.4, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 491, 'energy-kcal_value_computed': 485.6, 'energy-kj': 2058, 'energy-kj_100g': 2058, 'energy-kj_serving': 257, 'energy-kj_unit': 'kJ', 'energy-kj_value': 2058, 'energy-kj_value_computed': 2033.3, 'energy_100g': 2058, 'energy_serving': 257, 'energy_unit': 'kJ', 'energy_value': 2058, 'fat': 23, 'fat_100g': 23, 'fat_serving': 2.88, 'fat_unit': 'g', 'fat_value': 23, 'fiber': 3.5, 'fiber_100g': 3.5, 'fiber_serving': 0.438, 'fiber_unit': 'g', 'fiber_value': 3.5, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 0, 'nova-group': 4, 'nova-group_100g': 4, 'nova-group_serving': 4, 'nutrition-score-fr': 28, 'nutrition-score-fr_100g': 28, 'proteins': 5.9, 'proteins_100g': 5.9, 'proteins_serving': 0.738, 'proteins_unit': 'g', 'proteins_value': 5.9, 'salt': 1.2, 'salt_100g': 1.2, 'salt_serving': 0.15, 'salt_unit': 'g', 'salt_value': 1.2, 'saturated-fat': 12, 'saturated-fat_100g': 12, 'saturated-fat_serving': 1.5, 'saturated-fat_unit': 'g', 'saturated-fat_value': 12, 'sodium': 0.48, 'sodium_100g': 0.48, 'sodium_serving': 0.06, 'sodium_unit': 'g', 'sodium_value': 0.48, 'sugars': 28, 'sugars_100g': 28, 'sugars_serving': 3.5, 'sugars_unit': 'g', 'sugars_value': 28}",2025-11-27 17:54:19
PRESSup ORANGE 1L,jaouda,"Plant-based foods and beverages, Beverages, Plant-based beverages, Fruit-based beverages, Juices and nectars, Fruit nectars, Fruit juices, Orange nectars, en:orange-juices",Maroc,"Jus d'orange, eau, sucre, acidifiant : acide citrique, vitamine C, arôme naturel.","{'carbohydrates': 8.7, 'carbohydrates_100g': 8.7, 'carbohydrates_serving': 8.7, 'carbohydrates_unit': 'g', 'carbohydrates_value': 8.7, 'energy': 155, 'energy-kcal': 37, 'energy-kcal_100g': 37, 'energy-kcal_serving': 37, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 37, 'energy-kcal_value_computed': 35.6, 'energy_100g': 155, 'energy_serving': 155, 'energy_unit': 'kcal', 'energy_value': 37, 'fat': 0, 'fat_100g': 0, 'fat_serving': 0, 'fat_unit': 'g', 'fat_value': 0, 'fiber': 0.2, 'fiber_100g': 0.2, 'fiber_serving': 0.2, 'fiber_unit': 'g', 'fiber_value': 0.2, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 66, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 66, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 66, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 66, 'nova-group': 4, 'nova-group_100g': 4, 'nova-group_serving': 4, 'nutrition-score-fr': 2, 'nutrition-score-fr_100g': 2, 'proteins': 0.1, 'proteins_100g': 0.1, 'proteins_serving': 0.1, 'proteins_unit': 'g', 'proteins_value': 0.1, 'salt': 0.0025, 'salt_100g': 0.0025, 'salt_serving': 0.0025, 'salt_unit': 'g', 'salt_value': 0.0025, 'saturated-fat': 0, 'saturated-fat_100g': 0, 'saturated-fat_serving': 0, 'saturated-fat_unit': 'g', 'saturated-fat_value': 0, 'sodium': 0.001, 'sodium_100g': 0.001, 'sodium_serving': 0.001, 'sodium_unit': 'g', 'sodium_value': 0.001, 'sugars': 4.5, 'sugars_100g': 4.5, 'sugars_serving': 4.5, 'sugars_unit': 'g', 'sugars_value': 4.5, 'vitamin-c': 0.028, 'vitamin-c_100g': 0.028, 'vitamin-c_label': 'Vitamine C (acide ascorbique)', 'vitamin-c_serving': 0.028, 'vitamin-c_unit': 'g', 'vitamin-c_value': 0.028}",2025-11-27 17:54:19
Concentré de tomates Aicha,Aicha,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Légumes et dérivés, Tomates et dérivés, Tomates, Concentrés de tomates","Morocco, en:spain","tomate, sel,","{'alcohol': 0, 'alcohol_100g': 0, 'alcohol_serving': 0, 'alcohol_unit': '% vol', 'alcohol_value': 0, 'carbohydrates': 23.7, 'carbohydrates_100g': 6.41, 'carbohydrates_serving': 23.7, 'carbohydrates_unit': 'g', 'carbohydrates_value': 23.7, 'energy': 490, 'energy-kcal': 117, 'energy-kcal_100g': 31.6, 'energy-kcal_serving': 117, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 117, 'energy-kcal_value_computed': 122.8, 'energy_100g': 132, 'energy_serving': 490, 'energy_unit': 'kcal', 'energy_value': 117, 'fat': 0.4, 'fat_100g': 0.108, 'fat_serving': 0.4, 'fat_unit': 'g', 'fat_value': 0.4, 'fiber': 3, 'fiber_100g': 0.811, 'fiber_serving': 3, 'fiber_unit': 'g', 'fiber_value': 3, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 99.865, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 99.865, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 99.865, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 99.865, 'nova-group': 3, 'nova-group_100g': 3, 'nova-group_serving': 3, 'nutrition-score-fr': -4, 'nutrition-score-fr_100g': -4, 'proteins': 4.6, 'proteins_100g': 1.24, 'proteins_serving': 4.6, 'proteins_unit': 'g', 'proteins_value': 4.6, 'salt': 1, 'salt_100g': 0.27, 'salt_serving': 1, 'salt_unit': 'g', 'salt_value': 1, 'saturated-fat': 0, 'saturated-fat_100g': 0, 'saturated-fat_serving': 0, 'saturated-fat_unit': 'g', 'saturated-fat_value': 0, 'sodium': 0.4, 'sodium_100g': 0.108, 'sodium_serving': 0.4, 'sodium_unit': 'g', 'sodium_value': 0.4, 'sugars': 9, 'sugars_100g': 2.43, 'sugars_serving': 9, 'sugars_unit': 'g', 'sugars_value': 9}",2025-11-27 17:54:19
Olla,Olla,"Condiments,Sauces,Tomato sauces",Morocco,"Puré de tomate, aceite de girasol, azúcar, almidón modificado de maiz, sal, aroma de verduras.","{'carbohydrates': 8.7, 'carbohydrates_100g': 8.7, 'carbohydrates_unit': 'g', 'carbohydrates_value': 8.7, 'energy': 305, 'energy-kcal': 73, 'energy-kcal_100g': 73, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 73, 'energy-kcal_value_computed': 72.3, 'energy_100g': 305, 'energy_unit': 'kcal', 'energy_value': 73, 'fat': 3.3, 'fat_100g': 3.3, 'fat_unit': 'g', 'fat_value': 3.3, 'fiber': 1.3, 'fiber_100g': 1.3, 'fiber_unit': 'g', 'fiber_value': 1.3, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 70.45, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 70.45, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 70.45, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 70.45, 'nova-group': 4, 'nova-group_100g': 4, 'nova-group_serving': 4, 'nutrition-score-fr': 9, 'nutrition-score-fr_100g': 9, 'proteins': 1.3, 'proteins_100g': 1.3, 'proteins_unit': 'g', 'proteins_value': 1.3, 'salt': 2.25, 'salt_100g': 2.25, 'salt_unit': 'g', 'salt_value': 2.25, 'saturated-fat': 0.3, 'saturated-fat_100g': 0.3, 'saturated-fat_unit': 'g', 'saturated-fat_value': 0.3, 'sodium': 0.9, 'sodium_100g': 0.9, 'sodium_unit': 'g', 'sodium_value': 0.9, 'sugars': 2.3, 'sugars_100g': 2.3, 'sugars_unit': 'g', 'sugars_value': 2.3}",2025-11-27 17:54:19
Cracotte Céréales Complètes,"lu, LU","Aliments et boissons à base de végétaux,Aliments d'origine végétale,Snacks,Céréales et pommes de terre,Tartines craquantes extrudées","Belgium, France, Luxembourg, Réunion, Switzerland, en:netherlands","Céréales 98,5 % (farine complète de blé 66,2 %, farine de seigle 12,1 %, farine de blé 10,1 %, farine de riz 3,2 %, farine de blé malté 2,1 %, farine de sarrasin 1,6 %, farine d'orge 1,6 %, semoule de blé 1,6 %), sucre, lactosérum en poudre (de lait), sel, huile de palme, germes de blé. Peut contenir soja, sésame.","{'carbohydrates': 75, 'carbohydrates_100g': 75, 'carbohydrates_serving': 5.51, 'carbohydrates_unit': 'g', 'carbohydrates_value': 75, 'carbon-footprint-from-known-ingredients_100g': 29.49, 'carbon-footprint-from-known-ingredients_product': 0, 'carbon-footprint-from-known-ingredients_serving': 2.17, 'energy': 1591, 'energy-kcal': 380, 'energy-kcal_100g': 380, 'energy-kcal_serving': 27.9, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 380, 'energy-kcal_value_computed': 380, 'energy-kj': 1591, 'energy-kj_100g': 1591, 'energy-kj_serving': 117, 'energy-kj_unit': 'kJ', 'energy-kj_value': 1591, 'energy-kj_value_computed': 1608.8, 'energy_100g': 1591, 'energy_serving': 117, 'energy_unit': 'kJ', 'energy_value': 1591, 'fat': 2.8, 'fat_100g': 2.8, 'fat_serving': 0.206, 'fat_unit': 'g', 'fat_value': 2.8, 'fiber': 5.4, 'fiber_100g': 5.4, 'fiber_serving': 0.397, 'fiber_unit': 'g', 'fiber_value': 5.4, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 0, 'nova-group': 4, 'nova-group_100g': 4, 'nova-group_serving': 4, 'nutrition-score-fr': 10, 'nutrition-score-fr_100g': 10, 'proteins': 11, 'proteins_100g': 11, 'proteins_serving': 0.808, 'proteins_unit': 'g', 'proteins_value': 11, 'salt': 1.6, 'salt_100g': 1.6, 'salt_serving': 0.118, 'salt_unit': 'g', 'salt_value': 1.6, 'saturated-fat': 1, 'saturated-fat_100g': 1, 'saturated-fat_serving': 0.0735, 'saturated-fat_unit': 'g', 'saturated-fat_value': 1, 'sodium': 0.64, 'sodium_100g': 0.64, 'sodium_serving': 0.047, 'sodium_unit': 'g', 'sodium_value': 0.64, 'sugars': 7.9, 'sugars_100g': 7.9, 'sugars_serving': 0.581, 'sugars_unit': 'g', 'sugars_value': 7.9}",2025-11-27 17:54:19
Kinder Bueno,Kinder,"Botanas,Snacks dulces,Galletas y pasteles,en:Biscuits and crackers,Galletas,en:Wafers,Galletas de chocolate,Obleas rellenas,en:Chocolate stuffed wafers","Australia,Belgium,Estonia,France,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Morocco,New Zealand,Poland,Portugal,Romania,Spain,Switzerland,United Kingdom,Libya","MILK chocolate 31.5% (sugar, cocoa butter, cocoa mass, skimmed MILK powder, concentrated POTTER, emulsifier: lecithins (SOYA), vanillin), sugar, palm oil, WHEAT flour, HAZELNUTS (10.5%), skimmed MILK powder, MILK powder, chocolate (sugar, cocoa mass, cocoa butter, emulsifier: lecithins (SOYA), vanillin), fat-reduced cocoa, emulsifier: lecithins (SOYA), raising agent (sodium bicarbonate), salt, vanillin.","{'added-sugars': 0, 'added-sugars_100g': 0, 'added-sugars_serving': 0, 'added-sugars_unit': 'g', 'added-sugars_value': 0, 'caffeine': 0, 'caffeine_100g': 0, 'caffeine_serving': 0, 'caffeine_unit': 'mg', 'caffeine_value': 0, 'carbohydrates': 51.5, 'carbohydrates_100g': 51.5, 'carbohydrates_serving': 11.1, 'carbohydrates_unit': 'g', 'carbohydrates_value': 51.5, 'carbon-footprint-from-known-ingredients_100g': 185.85, 'carbon-footprint-from-known-ingredients_product': 79.9, 'carbon-footprint-from-known-ingredients_serving': 40, 'choline': 0, 'choline_100g': 0, 'choline_serving': 0, 'choline_unit': 'mg', 'choline_value': 0, 'copper': 0, 'copper_100g': 0, 'copper_serving': 0, 'copper_unit': 'mg', 'copper_value': 0, 'energy': 2393, 'energy-kcal': 572, 'energy-kcal_100g': 572, 'energy-kcal_serving': 123, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 572, 'energy-kcal_value_computed': 580.1, 'energy_100g': 2393, 'energy_serving': 514, 'energy_unit': 'kcal', 'energy_value': 572, 'fat': 37.3, 'fat_100g': 37.3, 'fat_serving': 8.02, 'fat_unit': 'g', 'fat_value': 37.3, 'fiber': 2, 'fiber_100g': 2, 'fiber_serving': 0.43, 'fiber_unit': 'g', 'fiber_value': 2, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 10.5, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 10.5, 'iron': 0, 'iron_100g': 0, 'iron_serving': 0, 'iron_unit': 'mg', 'iron_value': 0, 'magnesium': 0, 'magnesium_100g': 0, 'magnesium_serving': 0, 'magnesium_unit': 'mg', 'magnesium_value': 0, 'manganese': 0, 'manganese_100g': 0, 'manganese_serving': 0, 'manganese_unit': 'mg', 'manganese_value': 0, 'nova-group': 4, 'nova-group_100g': 4, 'nova-group_serving': 4, 'nutrition-score-fr': 29, 'nutrition-score-fr_100g': 29, 'phosphorus': 0, 'phosphorus_100g': 0, 'phosphorus_serving': 0, 'phosphorus_unit': 'mg', 'phosphorus_value': 0, 'proteins': 8.6, 'proteins_100g': 8.6, 'proteins_serving': 1.85, 'proteins_unit': 'g', 'proteins_value': 8.6, 'salt': 0.1975, 'salt_100g': 0.1975, 'salt_serving': 0.0425, 'salt_unit': 'g', 'salt_value': 0.1975, 'saturated-fat': 17.3, 'saturated-fat_100g': 17.3, 'saturated-fat_serving': 3.72, 'saturated-fat_unit': 'g', 'saturated-fat_value': 17.3, 'selenium': 0, 'selenium_100g': 0, 'selenium_serving': 0, 'selenium_unit': 'µg', 'selenium_value': 0, 'sodium': 0.079, 'sodium_100g': 0.079, 'sodium_serving': 0.017, 'sodium_unit': 'g', 'sodium_value': 0.079, 'starch': 0, 'starch_100g': 0, 'starch_serving': 0, 'starch_unit': 'g', 'starch_value': 0, 'sugars': 41.2, 'sugars_100g': 41.2, 'sugars_serving': 8.86, 'sugars_unit': 'g', 'sugars_value': 41.2, 'vitamin-a': 0, 'vitamin-a_100g': 0, 'vitamin-a_serving': 0, 'vitamin-a_unit': 'µg', 'vitamin-a_value': 0, 'vitamin-b1': 0, 'vitamin-b12': 0, 'vitamin-b12_100g': 0, 'vitamin-b12_serving': 0, 'vitamin-b12_unit': 'µg', 'vitamin-b12_value': 0, 'vitamin-b1_100g': 0, 'vitamin-b1_serving': 0, 'vitamin-b1_unit': 'mg', 'vitamin-b1_value': 0, 'vitamin-b2': 0, 'vitamin-b2_100g': 0, 'vitamin-b2_serving': 0, 'vitamin-b2_unit': 'mg', 'vitamin-b2_value': 0, 'vitamin-b6': 0, 'vitamin-b6_100g': 0, 'vitamin-b6_serving': 0, 'vitamin-b6_unit': 'mg', 'vitamin-b6_value': 0, 'vitamin-b9': 0, 'vitamin-b9_100g': 0, 'vitamin-b9_serving': 0, 'vitamin-b9_unit': 'µg', 'vitamin-b9_value': 0, 'vitamin-c': 0, 'vitamin-c_100g': 0, 'vitamin-c_serving': 0, 'vitamin-c_unit': 'mg', 'vitamin-c_value': 0, 'vitamin-e': 0, 'vitamin-e_100g': 0, 'vitamin-e_serving': 0, 'vitamin-e_unit': 'mg', 'vitamin-e_value': 0, 'vitamin-k': 0, 'vitamin-k_100g': 0, 'vitamin-k_serving': 0, 'vitamin-k_unit': 'µg', 'vitamin-k_value': 0, 'zinc': 0, 'zinc_100g': 0, 'zinc_serving': 0, 'zinc_unit': 'mg', 'zinc_value': 0}",2025-11-27 17:54:19
Special Muesli 30% fruits & noix,Jordans,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Petit-déjeuners,Céréales et pommes de terre,Céréales et dérivés,Céréales pour petit-déjeuner,Céréales aux fruits,Mueslis,Mueslis aux fruits,Müesli","Belgium,France,French Polynesia,Germany,Italy,Martinique,Réunion,Spain,Switzerland","Céréales complètes (59%) (flocons d'_avoine_, flocons de _blé_, flocons de _blé_ grillés), fruits secs (raisins secs, raisins de sultanine, abricots secs hachés, tranches de pommes séchées, éclats de noix de coco grillés), noix (_noisettes_ hachées grillées, _amandes_ effilées), flocons d'_orge_, graines de tournesol.","{'carbohydrates': 60, 'carbohydrates_100g': 60, 'carbohydrates_serving': 27, 'carbohydrates_unit': 'g', 'carbohydrates_value': 60, 'carbon-footprint-from-known-ingredients_100g': 65.7, 'carbon-footprint-from-known-ingredients_product': 493, 'carbon-footprint-from-known-ingredients_serving': 29.6, 'energy': 1523, 'energy-kcal': 362, 'energy-kcal_100g': 362, 'energy-kcal_serving': 163, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 362, 'energy-kcal_value_computed': 362.4, 'energy-kj': 1523, 'energy-kj_100g': 1523, 'energy-kj_serving': 685, 'energy-kj_unit': 'kJ', 'energy-kj_value': 1523, 'energy-kj_value_computed': 1526.8, 'energy_100g': 1523, 'energy_serving': 685, 'energy_unit': 'kJ', 'energy_value': 1523, 'fat': 7.2, 'fat_100g': 7.2, 'fat_serving': 3.24, 'fat_unit': 'g', 'fat_value': 7.2, 'fiber': 8.8, 'fiber_100g': 8.8, 'fiber_serving': 3.96, 'fiber_unit': 'g', 'fiber_value': 8.8, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 25.625, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 25.625, 'fruits-vegetables-nuts-estimate': 30, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 33.3125, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 33.3125, 'fruits-vegetables-nuts-estimate_100g': 30, 'fruits-vegetables-nuts-estimate_label': 'Fruits, légumes, noix et huiles de colza, noix et olive (estimation avec la liste des ingrédients)', 'fruits-vegetables-nuts-estimate_serving': 30, 'fruits-vegetables-nuts-estimate_unit': 'g', 'fruits-vegetables-nuts-estimate_value': 30, 'iron': 0.0034, 'iron_100g': 0.0034, 'iron_label': 'Fer', 'iron_serving': 0.00153, 'iron_unit': 'g', 'iron_value': 0.0034, 'magnesium': 0.09, 'magnesium_100g': 0.09, 'magnesium_label': 'Magnésium', 'magnesium_serving': 0.0405, 'magnesium_unit': 'g', 'magnesium_value': 0.09, 'nova-group': 1, 'nova-group_100g': 1, 'nova-group_serving': 1, 'nutrition-score-fr': 0, 'nutrition-score-fr_100g': 0, 'potassium': 0.524, 'potassium_100g': 0.524, 'potassium_label': 'Potassium', 'potassium_serving': 0.236, 'potassium_unit': 'g', 'potassium_value': 0.524, 'proteins': 10, 'proteins_100g': 10, 'proteins_serving': 4.5, 'proteins_unit': 'g', 'proteins_value': 10, 'salt': 0.03, 'salt_100g': 0.03, 'salt_serving': 0.0135, 'salt_unit': 'g', 'salt_value': 0.03, 'saturated-fat': 2, 'saturated-fat_100g': 2, 'saturated-fat_serving': 0.9, 'saturated-fat_unit': 'g', 'saturated-fat_value': 2, 'sodium': 0.012, 'sodium_100g': 0.012, 'sodium_serving': 0.0054, 'sodium_unit': 'g', 'sodium_value': 0.012, 'sugars': 17, 'sugars_100g': 17, 'sugars_serving': 7.65, 'sugars_unit': 'g', 'sugars_value': 17, 'vitamin-b1': 0.00023, 'vitamin-b1_100g': 0.00023, 'vitamin-b1_label': 'Vitamine B1 (Thiamine)', 'vitamin-b1_serving': 0.000103, 'vitamin-b1_unit': 'g', 'vitamin-b1_value': 0.00023, 'zinc': 0.0018, 'zinc_100g': 0.0018, 'zinc_label': 'Zinc', 'zinc_serving': 0.00081, 'zinc_unit': 'g', 'zinc_value': 0.0018}",2025-11-27 17:54:19
,VIP,"Boissons et préparations de boissons,Aliments et boissons à base de végétaux,Boissons,Aliments d'origine végétale,Préparations pour boissons,Cafés,Boissons instantanées,Cafés solubles",Maroc,,"{'carbohydrates': 0.3, 'carbohydrates_100g': 0.3, 'carbohydrates_unit': 'g', 'carbohydrates_value': 0.3, 'energy': 4, 'energy-kcal': 1, 'energy-kcal_100g': 1, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 1, 'energy-kcal_value_computed': 2, 'energy_100g': 4, 'energy_unit': 'kcal', 'energy_value': 1, 'fat': 0, 'fat_100g': 0, 'fat_unit': 'g', 'fat_value': 0, 'proteins': 0.2, 'proteins_100g': 0.2, 'proteins_unit': 'g', 'proteins_value': 0.2, 'salt': 0, 'salt_100g': 0, 'salt_unit': 'g', 'salt_value': 0, 'saturated-fat': 0, 'saturated-fat_100g': 0, 'saturated-fat_unit': 'g', 'saturated-fat_value': 0, 'sodium': 0, 'sodium_100g': 0, 'sodium_unit': 'g', 'sodium_value': 0, 'sugars': 0, 'sugars_100g': 0, 'sugars_unit': 'g', 'sugars_value': 0}",2025-11-27 17:54:19
Runny Honey imp,Rowse,"Breakfasts, Spreads, Sweet spreads, Bee products, Farming products, Sweeteners, Honeys","France, United Kingdom, en:ireland",honey,"{'carbohydrates': 81.5, 'carbohydrates_100g': 81.5, 'carbohydrates_serving': 5.71, 'carbohydrates_unit': 'g', 'carbohydrates_value': 81.5, 'energy': 1377, 'energy-kcal': 329, 'energy-kcal_100g': 329, 'energy-kcal_serving': 23, 'energy-kcal_unit': 'kcal', 'energy-kcal_value': 329, 'energy-kcal_value_computed': 333.5, 'energy_100g': 1377, 'energy_serving': 96.4, 'energy_unit': 'kcal', 'energy_value': 329, 'fat': 0.5, 'fat_100g': 0.5, 'fat_serving': 0.035, 'fat_unit': 'g', 'fat_value': 0.5, 'fiber': 0.5, 'fiber_100g': 0.5, 'fiber_serving': 0.035, 'fiber_unit': 'g', 'fiber_value': 0.5, 'fruits-vegetables-legumes-estimate-from-ingredients_100g': 0, 'fruits-vegetables-legumes-estimate-from-ingredients_serving': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_100g': 0, 'fruits-vegetables-nuts-estimate-from-ingredients_serving': 0, 'nova-group': 2, 'nova-group_100g': 2, 'nova-group_serving': 2, 'nutrition-score-fr': 19, 'nutrition-score-fr_100g': 19, 'proteins': 0.5, 'proteins_100g': 0.5, 'proteins_serving': 0.035, 'proteins_unit': 'g', 'proteins_value': 0.5, 'salt': 0.03, 'salt_100g': 0.03, 'salt_serving': 0.0021, 'salt_unit': 'g', 'salt_value': 0.03, 'saturated-fat': 0.2, 'saturated-fat_100g': 0.2, 'saturated-fat_serving': 0.014, 'saturated-fat_unit': 'g', 'saturated-fat_value': 0.2, 'sodium': 0.012, 'sodium_100g': 0.012, 'sodium_serving': 0.00084, 'sodium_unit': 'g', 'sodium_value': 0.012, 'sugars': 80.8, 'sugars_100g': 80.8, 'sugars_serving': 5.66, 'sugars_unit': 'g', 'sugars_value': 80.8}",2025-11-27 17:54:19
